商品	订单号	订单状态	商品总价(元)	邮费(元)	店铺优惠折扣(元)	平台优惠折扣(元)	多多支付立减金额(元)	用户实付金额(元)	商家实收金额(元)	商品数量(件)	发货时间	确认收货时间	商品id	商品规格	样式ID	商家备注	售后状态	快递单号	快递公司	订单成交时间
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240529-187160337983887	已发货，待收货	"4.5	"	"0.0	"	"0.45	"	"0.48	"	"0.0	"	"3.57	"	"4.05	"	"1	"	2024/5/30 10:19	"	"	"609881478958	"	16K汉语拼音本(5本)	"1599890404784	"	"	"	无售后或售后取消	"777218522318900	"	申通快递	2024/5/29 22:44
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240529-202883755543275	已发货，待收货	"13.5	"	"0.0	"	"1.35	"	"0.0	"	"0.0	"	"12.15	"	"12.15	"	"3	"	2024/5/30 10:19	"	"	"609881478958	"	16K汉语拼音本(5本)	"1599890404784	"	"	"	无售后或售后取消	"777218522320017	"	申通快递	2024/5/29 22:43
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240529-303919306362880	已发货，待收货	"4.5	"	"0.0	"	"0.0	"	"0.0	"	"0.0	"	"4.5	"	"4.5	"	"1	"	2024/5/30 10:19	"	"	"609881478958	"	16K方格语文本(5本)	"1599890404773	"	"	"	无售后或售后取消	"777218522320534	"	申通快递	2024/5/29 22:13
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240529-141038795031189	已发货，待收货	"9.0	"	"0.0	"	"0.9	"	"0.97	"	"0.0	"	"7.13	"	"8.1	"	"2	"	2024/5/30 10:19	"	"	"609881478958	"	16K方格语文本(5本)	"1599890404773	"	"	"	无售后或售后取消	"777218522319874	"	申通快递	2024/5/29 22:01
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240529-663711977910305	已发货，待收货	"4.5	"	"0.0	"	"0.0	"	"0.0	"	"0.0	"	"4.5	"	"4.5	"	"1	"	2024/5/30 10:19	"	"	"609881478958	"	16K单线数学本(5本)	"1599890404780	"	"	"	无售后或售后取消	"777218522320583	"	申通快递	2024/5/29 21:35
莱特5本36页牛皮学生作业本16K学校统一语文练习本学生汉语拼音本	240529-114064177441757	已发货，待收货	"9.0	"	"0.0	"	"0.9	"	"0.97	"	"0.0	"	"7.13	"	"8.1	"	"2	"	2024/5/30 10:19	"	"	"612517929146	"	练习本(5本)	"1596013749703	"	"	"	无售后或售后取消	"777218522323666	"	申通快递	2024/5/29 21:27
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240529-076530327234085	已发货，待收货	"4.5	"	"0.0	"	"0.0	"	"2.0	"	"0.01	"	"2.5	"	"4.5	"	"1	"	2024/5/30 10:19	"	"	"609881478958	"	16K双线数学本(5本)	"1599890404779	"	"	"	无售后或售后取消	"777218522320035	"	申通快递	2024/5/29 21:27
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240529-609484818202322	已发货，待收货	"4.5	"	"0.0	"	"0.45	"	"0.0	"	"0.0	"	"4.05	"	"4.05	"	"1	"	2024/5/30 10:19	"	"	"609881478958	"	16K作文本300格(5本)	"1599890404771	"	"	"	无售后或售后取消	"777218522318935	"	申通快递	2024/5/29 21:21
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240529-265887434522322	已发货，待收货	"9.0	"	"0.0	"	"0.9	"	"0.0	"	"0.0	"	"8.1	"	"8.1	"	"2	"	2024/5/30 10:19	"	"	"609881478958	"	16K英语本(5本)	"1599890404776	"	"	"	无售后或售后取消	"777218522318935	"	申通快递	2024/5/29 21:21
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240529-531449792282322	待付款	"4.5	"	"0.0	"	"0.0	"	"0.0	"	"0.0	"	"4.5	"	"4.5	"	"1	"	"	"	"	"	"609881478958	"	16K作文本300格(5本)	"1599890404771	"	"	"	无售后或售后取消	"	"	"	"	"	"
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240529-189881464980523	已发货，待收货	"9.0	"	"0.0	"	"0.9	"	"0.97	"	"0.0	"	"7.13	"	"8.1	"	"2	"	2024/5/30 10:19	"	"	"609881478958	"	16K英语本(5本)	"1599890404776	"	"	"	无售后或售后取消	"777218522323216	"	申通快递	2024/5/29 21:14
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240529-677851993622117	已发货，待收货	"4.5	"	"0.0	"	"0.0	"	"0.0	"	"0.0	"	"4.5	"	"4.5	"	"1	"	2024/5/30 10:19	"	"	"609881478958	"	16K双线数学本(5本)	"1599890404779	"	"	"	无售后或售后取消	"777218522319375	"	申通快递	2024/5/29 21:13
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240529-032327626262117	已发货，待收货	"4.5	"	"0.0	"	"0.0	"	"0.0	"	"0.0	"	"4.5	"	"4.5	"	"1	"	2024/5/30 10:19	"	"	"609881478958	"	16K田字本(5本)	"1599890404778	"	"	"	无售后或售后取消	"777218522319375	"	申通快递	2024/5/29 21:13
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240529-124298237451564	已发货，待收货	"9.0	"	"0.0	"	"0.9	"	"0.0	"	"0.0	"	"8.1	"	"8.1	"	"2	"	2024/5/30 10:19	"	"	"609881478958	"	16K方格语文本(5本)	"1599890404773	"	"	"	无售后或售后取消	"777218522320110	"	申通快递	2024/5/29 21:00
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240529-178488634891564	已取消	"9.0	"	"0.0	"	"0.9	"	"0.0	"	"0.0	"	"8.1	"	"8.1	"	"2	"	"	"	"	"	"609881478958	"	16K方格语文本(5本)	"1599890404773	"	"	"	无售后或售后取消	"	"	"	"	"	"
